Distr;D_stats;p_value;Parameters
johnsonsu;0.053274;0.229000;(1.1681976636459994, 5.648953672515727, 0.857796779280491, 0.16146289039907663)
fisk;0.053417;0.227000;(152437496.4739349, -2569426.204694604, 2569427.0287403627)
logistic;0.053414;0.227000;(0.8240457860432852, 0.01685784871097171)
weibull_max;0.053815;0.220000;(3.906757340027544, 0.9297255434215175, 0.11701795600034914)
beta;0.053786;0.220000;(125275175.03367412, 306.6677187316708, -212181.95091919048, 212183.29397056927)
exponweib;0.055443;0.192000;(1.2831713247218137, 3.861934854539827, 0.7055908373720046, 0.12289026685614803)
genlogistic;0.057896;0.156000;(0.88685467826492, 0.8270762927122199, 0.01612286846592753)
burr;0.058910;0.142000;(111.36723983784916, 0.8287645358068898, -0.9251081349746324, 1.7537359885315018)
mielke;0.059660;0.133000;(51.247099354591064, 64.9589965542125, -0.17640667291550474, 1.006141477044953)
hypsecant;0.061052;0.117000;(0.8242595125667436, 0.020099871681165865)
dweibull;0.064246;0.087000;(1.2137651853268943, 0.8246841817116779, 0.024831704513441764)
invweibull;0.073837;0.032000;(218403914.4806321, -6470250.037829621, 6470250.846213447)
gumbel_r;0.078719;0.018000;(0.8086510422736993, 0.030146006416752358)
cauchy;0.082131;0.012000;(0.8248354271706194, 0.017430734666328884)
foldcauchy;0.085681;0.008000;(43.70621833845067, 0.062148232929695624, 0.01745016673065218)
gompertz;0.088945;0.005000;(0.024806195727256144, 0.7223009273596526, 0.030975300884820714)
laplace;0.092737;0.003000;(0.825, 0.02335079880924654)
loglaplace;0.093051;0.003000;(39.24452687114281, -0.09398146088092885, 0.9189814475234988)
kstwobign;0.094837;0.002000;(0.6931860153831848, 0.15057540651628726)
gumbel_l;0.097393;0.002000;(0.8383370145215345, 0.02933124254130323)
halfnorm;0.356263;0.000000;(0.7265306066686863, 0.10150615862572551)
semicircular;1.000000;0.000000;(2.5606012363451685, 1.18582539032895e-43)
chi2;0.522137;0.000000;(0.6668010929885654, 0.7265306122448979, 1.0333527385108077)
rdist;1.000000;0.000000;(1.3053443903964053, 2.0604623131753605, 5.482473326746131e-30)
reciprocal;0.245171;0.000000;(0.954077899773877, 1.209879592847749, 0.0006036509287979117, 0.7608675993484222)
rayleigh;0.144990;0.000000;(0.7855554822538127, 0.03413248337641966)
bradford;0.302766;0.000000;(1.091474851901694, 0.7265306105371302, 0.19463123312723596)
gilbrat;0.289537;0.000000;(0.726013159011677, 0.09193913446549008)
cosine;1.000000;0.000000;(5.769911346050916, 5.264229153853708e-30)
triang;0.118922;0.000000;(0.5097016718497933, 0.726078848464951, 0.19550127263482203)
truncexpon;0.307775;0.000000;(0.8148041054225182, 0.7265306057122689, 0.23886874956400583)
truncnorm;0.249124;0.000000;(0.9654838260705209, 1.224311033018545, 0.0005122830872803996, 0.7519735777177723)
arcsine;0.298945;0.000000;(0.7265185650903605, 0.19464326063578055)
uniform;0.224670;0.000000;(0.726530612244898, 0.19463121348124302)
vonmises;2741560667617826883898441728.000000;0.000000;(1.4109146217703432, 0.8465095569394052, 5.666573058309923e-30)
vonmises_line;1.000000;0.000000;(1.305344436584598, 4.645406652691589, 4.4235737721703756e-30)
wald;0.289497;0.000000;(0.723546885177965, 0.14506958468967457)
weibull_min;0.341573;0.000000;(210957904.11214513, -15501902.181810187, 15501903.011365168)
powerlaw;0.303857;0.000000;(1.3210256009112484, 0.7264010294551628, 0.19476079701282173)
nct;0.295109;0.000000;(215.95371989301952, 31.743524023742445, -0.9509084563619137, 0.05592275068707331)
pareto;0.365023;0.000000;(3.964847553234839, 0.36224041002346696, 0.3642902021239345)
halfgennorm;0.314586;0.000000;(9.370847615314592, 0.7265306122438431, 0.15702130723299423)
halflogistic;0.344750;0.000000;(0.726530592780996, 0.06426991646072405)
genextreme;0.434303;0.000000;(1.815641425349447, 0.8093666748091755, 0.20297990715803593)
genexpon;0.215241;0.000000;(0.0002097602872741395, 2.8848624537462007, 0.00913825851603486, 0.7256978934611547, 0.011711105411500871)
anglit;1.000000;0.000000;(2.237455307358478, 2.733506248357322e-29)
genpareto;0.639532;0.000000;(-1.681175420990745, 0.007868266998671087, 1.5354066830817903)
halfcauchy;0.332019;0.000000;(0.7265306010930028, 0.09305069075812467)
ksone;0.224670;0.000000;(1.096066558477605, 0.726530598046037, 0.19463123210553407)
levy;0.520250;0.000000;(0.7244186401325158, 0.08366069966249558)
levy_l;0.523884;0.000000;(0.923339578613788, 0.08437968010844168)
foldnorm;0.355732;0.000000;(0.375922574543764, 0.7265306007638872, 0.09477176163629618)
exponpow;0.379016;0.000000;(0.6697802762409759, 0.7265306122448979, 0.17547060268629483)
lomax;0.359334;0.000000;(8.027053995747547, 0.7265306107610994, 0.7797072948055408)
maxwell;0.144770;0.000000;(0.725992309549151, 0.06460055249051436)
genhalflogistic;0.425051;0.000000;(1.0984016828627148, 0.7256693201768567, 0.21472929708238253)
expon;0.370865;0.000000;(0.726530612244898, 0.09710720325602018)
ncx2;0.541711;0.000000;(0.537294109410028, 1.4656564477107088, 0.7265306122448979, 0.033880827552251025)
ncf;0.419500;0.000000;(98.99566765423015, 93.2764477848003, 0.05809597454278631, -0.7950480878125248, 1.6155604964765935)
gausshyper;0.331076;0.000000;(15.909412864607571, 14.510469669174908, -35.02926318137314, 4.437623539335103, 0.4130833934237176, 0.5493743934063535)
