Distr;D_stats;p_value;Parameters
arcsine;0.475490;0.000000;(0.8934119292615337, 0.10658807073846634)
foldcauchy;0.179265;0.000000;(106.16835117501682, -0.20548465215674816, 0.011185851517112998)
foldnorm;0.394018;0.000000;(1.017972594728281, 0.9137930932736308, 0.044320865909257844)
genlogistic;0.714286;0.000000;(2.6635044466046422e-08, 1.0000000220712812, 5.392215427675209e-10)
genpareto;0.821910;0.000000;(-1.4766453553221903, 0.006608855621595359, 1.4668864193645668)
invgamma;0.167094;0.000000;(7547.72098727075, -0.5078419046737748, 11226.144650932602)
hypsecant;0.154058;0.000000;(0.9809282532434163, 0.012213135883607795)
halfgennorm;0.714286;0.000000;(302302.4691112577, 0.9137930478543292, 0.08621036419220682)
halfnorm;0.403781;0.000000;(0.9137931015559235, 0.06813458988131325)
halflogistic;0.368849;0.000000;(0.9137930865897277, 0.0453526988750106)
halfcauchy;0.457662;0.000000;(0.9137931031578076, 0.07544071628660551)
gumbel_l;0.191930;0.000000;(0.9878953800353861, 0.01405030071878322)
gumbel_r;0.187301;0.000000;(0.9709289659936804, 0.018479675032098575)
gompertz;0.417584;0.000000;(1.5689110345171455, 0.9137931011975602, 0.12136087692569919)
gilbrat;0.377562;0.000000;(0.9131621423881664, 0.06357063449857514)
genhalflogistic;0.285714;0.000000;(1.1123147520845071, 0.9118519352266293, 0.09804839281512089)
gengamma;0.167022;0.000000;(87.66029545829821, 2.158220458048044, 0.635165591826997, 0.04342743283272488)
gamma;0.165378;0.000000;(282.08045496130467, 0.687734196770927, 0.0010347551598821189)
gausshyper;0.471319;0.000000;(1.1427683602336196, 0.9230829459589474, 1.0275081968346194, 1.063289232797942, 0.9111817205627778, 0.08881827943722222)
genextreme;0.285714;0.000000;(1.148148859923588, 0.9809352741358942, 0.02188914326562881)
genexpon;0.289200;0.000000;(6.504087240265143e-06, 2.8122049953803367, 8.256461464341484e-05, 0.9111659948098492, 0.000761906854699141)
gennorm;0.178315;0.000000;(2.9884458729489745, 0.9783765842182148, 0.02781815320667604)
weibull_max;0.627079;0.000000;(0.29104691229319046, 1.0000000000000002, 1.086820449196662)
